ASIN,Identifier,Purchasing Price
B08GSQ86ZB,asin,5.0
B06Y1HWW99,asin,5.0
B015RTQ9WG,asin,5.0
B07PGPK4ZH,asin,5.0
B08863JWWS,asin,5.0
B089KCCD8K,asin,5.0
B088KRZY6B,asin,5.0
B07RT7VLPS,asin,5.0
B01MXTDP24,asin,5.0
B017LL8SMW,asin,5.0
B07ZPPY256,asin,5.0
B07WJZWLSW,asin,5.0
B07MYWMQPG,asin,5.0
B07WJZW9JG,asin,5.0
B08G4TSZT5,asin,5.0
B0795ZB3VT,asin,5.0
B004IPQPPM,asin,5.0
B07KPTTLL6,asin,5.0
B07SJ5X56V,asin,5.0
B07C633752,asin,5.0
B01M35CW10,asin,5.0
B08CK26W7W,asin,5.0
B07LBPK3HJ,asin,5.0
B0864KS955,asin,5.0
B08C2Q2V1M,asin,5.0
B07V84L7BB,asin,5.0
B08LVLX33K,asin,5.0
B08GC5ZKP9,asin,5.0
B08JK7443Y,asin,5.0
B07GX3ZFGQ,asin,5.0
B07CLMPFLD,asin,5.0
B07NCFM93V,asin,5.0
B07MZ15K8V,asin,5.0
B07D335XWJ,asin,5.0
B074DX4RYL,asin,5.0
B08GPVG853,asin,5.0
B088439CH4,asin,5.0
B012P10QVY,asin,5.0
B01N1VHFN6,asin,5.0
B089LT2VQ8,asin,5.0
B0788X1DT9,asin,5.0
B08GSDB2G6,asin,5.0
B077G9CKY3,asin,5.0
B07XYRCP5T,asin,5.0
B01BTGI4ZG,asin,5.0
B078HPLGXT,asin,5.0
B07FTKXNWH,asin,5.0
B00ZC305RI,asin,5.0
B073R927FP,asin,5.0
B07Y9X7P97,asin,5.0
B08BJN44WR,asin,5.0
B083BV4MN1,asin,5.0
B088QH9Z3V,asin,5.0
B085LCS16B,asin,5.0
B08BJZS7ZP,asin,5.0
B07T6XLFV7,asin,5.0
B08DCRZDYN,asin,5.0
B07HHSX6B7,asin,5.0
B085SW1D8J,asin,5.0
B083XDLXT6,asin,5.0
B08HHKPVCQ,asin,5.0
B07X2JDS8T,asin,5.0
B0817PK32V,asin,5.0
B07BNMWL3R,asin,5.0
B06Y5CSS3B,asin,5.0
B0881W82BD,asin,5.0
B08F549Y2Z,asin,5.0
B08LCVSXKS,asin,5.0
B07YYV5361,asin,5.0
B07ZK75TSV,asin,5.0
B08DFH9FB8,asin,5.0
B079617Z9Y,asin,5.0
B08CKM1YY2,asin,5.0
B078Q3LHWB,asin,5.0
B08J1QSBK4,asin,5.0
B077K6JRBR,asin,5.0
B08LFZB2G6,asin,5.0
B07NDL35KG,asin,5.0
B07M6CXFDV,asin,5.0
B07VPZ4MJX,asin,5.0
B01F78TEOM,asin,5.0
B07ZMX61L5,asin,5.0
B07GP1TT93,asin,5.0
B07CBYFKNV,asin,5.0
B07YNL44MK,asin,5.0
B0894PC4GZ,asin,5.0
B07H991SBF,asin,5.0
B07FXWVT1S,asin,5.0
B07RBLMG2W,asin,5.0
B08JKT5CR3,asin,5.0
B071Y2YW5J,asin,5.0
B07Y1PW7BV,asin,5.0
B07P23FHWT,asin,5.0
B06Y28N9QF,asin,5.0
B082FC4PNH,asin,5.0
B07QBDC36Y,asin,5.0
B078H1T7MX,asin,5.0
B08KT43MKT,asin,5.0
B0861PZ7QM,asin,5.0
B07322LL6W,asin,5.0
B0881KX6SV,asin,5.0
B0871C7WR6,asin,5.0
B07XQ78VJH,asin,5.0
B07YZ5C98Q,asin,5.0
B08GQH21G9,asin,5.0
B07S67RLN4,asin,5.0
B07PDSGNTJ,asin,5.0
B07KVY2349,asin,5.0
B08CHDR2N2,asin,5.0
B06XRZSC8K,asin,5.0
B08F7326ZK,asin,5.0
B07V9RQY9F,asin,5.0
B08MXBCFH2,asin,5.0
B087ZFJQ7S,asin,5.0
B07XNPLWPN,asin,5.0
B07X8QV6XV,asin,5.0
B06XBZXR6F,asin,5.0
B07HJYMCGG,asin,5.0
B0819CHFQB,asin,5.0
B08GSPBN2S,asin,5.0
B08H53M94K,asin,5.0
B083VW1YGR,asin,5.0
B08JG9NF7D,asin,5.0
B013R8EQOW,asin,5.0
B07CBZPS6Q,asin,5.0
B088FM1KGG,asin,5.0
B085T2X7L2,asin,5.0
B08D8XC2TN,asin,5.0
B08JSFF42H,asin,5.0
B08GG7HZ8G,asin,5.0
B07W6D3ZXP,asin,5.0
B018FQVLQC,asin,5.0
B085VY58TS,asin,5.0
B082XYWYSB,asin,5.0
B01KW1L8HK,asin,5.0
B07XXQLD93,asin,5.0
B07YSGTZKL,asin,5.0
B08GPVV21R,asin,5.0
B07Z5MD3LH,asin,5.0
B08BTZ49MC,asin,5.0
B08GMDS99J,asin,5.0
B07KF27439,asin,5.0
B07XDYF4FJ,asin,5.0
B08F56G3ZV,asin,5.0
B07D6N2X6F,asin,5.0
B086B85ZB1,asin,5.0
B06XP1SGDJ,asin,5.0
B08DMSSVLY,asin,5.0
B08FFJ7RD9,asin,5.0
B08N6FVDRG,asin,5.0
B0882MD7MJ,asin,5.0
B086WPZQZV,asin,5.0
B07NCDYY15,asin,5.0
B07WZ7SJWB,asin,5.0
B07X29D83T,asin,5.0
B081C8XSDP,asin,5.0
B08KD653MX,asin,5.0
B08JLGCS88,asin,5.0
B082WZG3JR,asin,5.0
B088WM5DX4,asin,5.0
B082V8YF5B,asin,5.0
B0161WC4WC,asin,5.0
B07VSHGD5Z,asin,5.0
B08HQDJ484,asin,5.0
B083X7BTRV,asin,5.0
B0864KP67C,asin,5.0
B07B675LV3,asin,5.0
B08K2YST8W,asin,5.0
B08HPH84XB,asin,5.0
B08F4BQJPG,asin,5.0
B0166OJMIO,asin,5.0
B08FM9J4FV,asin,5.0
B087MVYYDJ,asin,5.0
B07CS2636W,asin,5.0
B08K929Z3W,asin,5.0
B07QPQLVX6,asin,5.0
B08DG1P2DT,asin,5.0
B07GVM6RBP,asin,5.0
B07JJ3H2TX,asin,5.0
B08M9126TP,asin,5.0
B0883YGN1T,asin,5.0
B01LYQTWH7,asin,5.0
B08GBXTQW3,asin,5.0
B087V7NDP5,asin,5.0
B087J7TR3G,asin,5.0
B08F9CJ5PP,asin,5.0
B07RYVHHVL,asin,5.0
B07VFZNPSW,asin,5.0
B07JHRJQR7,asin,5.0
B07D4JLJ83,asin,5.0
B07WC538F1,asin,5.0
B07F7S39HQ,asin,5.0
B07WFC4T2H,asin,5.0
B08NT49D3Z,asin,5.0
B0825SVD97,asin,5.0
B08D39FL2L,asin,5.0
B08F5C1FRJ,asin,5.0
B014WBWLKO,asin,5.0
B06W9LKQ5Y,asin,5.0
B01M3Q2YTB,asin,5.0
B088TW9CHC,asin,5.0
B07FCW2F9G,asin,5.0
B075XQV14W,asin,5.0
B01M8QGEC0,asin,5.0
B012ZYCUWY,asin,5.0
B088TVYVKT,asin,5.0
B007C2PVTO,asin,5.0
B075FGJ951,asin,5.0
B08DHD6P2K,asin,5.0
B07CSQJCF6,asin,5.0
B08B4GK3M4,asin,5.0
B083QX1CPP,asin,5.0
B00JL5FEL0,asin,5.0
B08F9HNB5N,asin,5.0
B078B9KNV5,asin,5.0
B08FJ6J36R,asin,5.0
B08LH63F13,asin,5.0
B07XYX53W4,asin,5.0
B0824YX4BZ,asin,5.0
B08H8F99R9,asin,5.0
B079DLLPQ2,asin,5.0
B085NBMVVD,asin,5.0
B017NT1UFY,asin,5.0
B08GBZQTJW,asin,5.0
B08GCV1W3J,asin,5.0
B0795YWQKP,asin,5.0
B08373SVKB,asin,5.0
B08CQQQYNX,asin,5.0
B07Y1J26RQ,asin,5.0
B07K42CZT5,asin,5.0
B07P1CJXDP,asin,5.0
B08F7JBKF9,asin,5.0
B087FW6H35,asin,5.0
B07QM2CMSF,asin,5.0
B08L3L658J,asin,5.0
B07DRGJK8J,asin,5.0
B08L66H3H4,asin,5.0
B082R194MV,asin,5.0
B08CXQ4GNX,asin,5.0
B00UY2YGI6,asin,5.0
B08F55GLZL,asin,5.0
B085BKR56W,asin,5.0
B00WU0O09K,asin,5.0
B08KCW5LXN,asin,5.0
B07MVH5BH1,asin,5.0
B0868W5YKC,asin,5.0
B081XXDNCM,asin,5.0
B07NLCYY7R,asin,5.0
B08DWMMB6P,asin,5.0
B01MXNVGZI,asin,5.0
B07T6S62V9,asin,5.0
B08NP3446R,asin,5.0
B07W4DZXY3,asin,5.0
B0834T86HN,asin,5.0
B07TYCRMY1,asin,5.0
B07Y7MC721,asin,5.0
B08KZW2NYV,asin,5.0
B00ND87BZS,asin,5.0
B08MW4JV2J,asin,5.0
B011Z9EC44,asin,5.0
B07HFPXV4K,asin,5.0
B01IA631YM,asin,5.0
B08138X1R8,asin,5.0
B07GRJCRQ8,asin,5.0
B017NBPRPQ,asin,5.0
B085QBCD2C,asin,5.0
B01MY2B8C3,asin,5.0
B07NTXG81C,asin,5.0
B00TKXHT0C,asin,5.0
B07LBJ84YH,asin,5.0
B07KC8TP6N,asin,5.0
B07R12YCX8,asin,5.0
B07D5VJJ9S,asin,5.0
B07H6B8BF3,asin,5.0
